gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,charge_ratio,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,tenure_group_13-24,tenure_group_25-48,tenure_group_49-60,tenure_group_60+
0,0,0,1,-0.4656833638455588,1,One year,0,Mailed check,-0.0004737233752722791,-0.42134512999253826,-0.38082493181500543,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False
0,0,0,0,0.8855367868020159,1,Two year,1,Bank transfer (automatic),1.074753860742306,1.2558879118255366,-0.48988795156535425,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
1,0,1,0,-1.2846046672683313,0,Month-to-month,1,Electronic check,-1.3764991324160054,-1.0021511667931313,2.9824508730892076,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,0,-1.1617664717549154,1,Month-to-month,1,Electronic check,0.17734598528095805,-0.9072922983317713,0.5251965162806467,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,1,-1.32555073243947,1,Two year,1,Bank transfer (automatic),-0.09852384310160459,-0.3945126738438529,-0.3963836542488056,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1,0,0,0,-1.0389282762414995,1,Month-to-month,1,Electronic check,0.15574172161244393,-0.7819636115161561,-0.06809557206169913,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,-0.015276646963033904,1,Two year,0,Mailed check,-1.5260671116595634,-0.7410128832200165,-0.446048357578065,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
1,0,1,1,1.6225659598825113,1,Two year,1,Credit card (automatic),-1.4978153822468916,-0.38691733087963903,-0.5082041088668887,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
1,0,0,0,-0.547575494187836,0,Month-to-month,1,Electronic check,-0.8380544071391968,-0.6882103242722944,-0.3604441047532474,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
1,0,0,1,-0.9160900807280837,1,One year,1,Bank transfer (automatic),-1.4928297829387727,-0.9154514877169091,-0.22569937710120486,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
1,1,1,0,-0.4656833638455588,1,Month-to-month,1,Electronic check,0.14078492368808804,-0.3603391584109783,-0.38692438311417177,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,1,0,0,0.5170222002617683,1,Month-to-month,1,Electronic check,0.17236038597283926,0.3417933611978855,-0.47540746628800956,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False
1,1,0,0,-0.015276646963033904,1,One year,0,Credit card (automatic),-1.4978153822468916,-0.7526214860037493,-0.43564074944710207,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
0,0,1,0,0.3122918744060751,1,One year,0,Bank transfer (automatic),1.3589330213050659,0.8574806642878247,-0.4675173791877906,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
0,0,0,0,0.5989143306040455,0,Two year,0,Mailed check,-0.7632704175174179,-0.18322504736773965,-0.47738193226137365,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False
0,0,0,0,0.1485076137215206,0,Two year,1,Mailed check,-0.3910123358445623,-0.1717270027057566,-0.45676356925912553,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False
0,0,1,1,1.4997277643690954,1,One year,1,Credit card (automatic),1.3373287576365518,2.1869420783296127,-0.5062152557529302,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,0,1.5816198947113727,1,Two year,1,Credit card (automatic),0.52633793684926,1.5104369313423611,-0.5076265563436666,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,0,1.5816198947113727,1,Two year,1,Bank transfer (automatic),-1.3366143379510567,-0.25623763097133184,-0.5066565541792158,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
1,0,1,0,0.10756154855038198,0,One year,0,Credit card (automatic),-0.38935046940852286,-0.15861480946622591,-0.4582502839195856,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
1,0,0,0,-1.202712536926054,1,Month-to-month,0,Mailed check,-0.33949447632733687,-0.9288953553216893,0.5019096783328643,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,1,1,0,1.6225659598825113,1,Two year,0,Credit card (automatic),1.4902204697521892,2.4804296683267295,-0.5085714706798752,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,1,1,1.6225659598825113,1,Two year,1,Credit card (automatic),0.8553874911850873,1.8362738277634805,-0.5079249200428518,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,1,1.4587816991979567,1,One year,1,Credit card (automatic),0.2704105056991718,1.2707248117643648,-0.5076507663985548,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True
0,0,0,0,0.39418400474835236,0,One year,1,Electronic check,-0.33617074345525777,0.026039365480351465,-0.4737936474649897,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False
1,1,0,0,-0.4656833638455588,1,One year,0,Bank transfer (automatic),-1.474549252142338,-0.8225605538226962,-0.3840071057751007,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,1,0,0,-0.997982211070361,1,Month-to-month,1,Electronic check,0.9052434842662732,-0.6897139147280922,-0.09449527351199881,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
1,1,1,0,-0.9160900807280837,1,Month-to-month,0,Electronic check,0.34685636175699025,-0.693915123354586,-0.1743728041167897,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0,1.5816198947113727,1,Two year,1,Credit card (automatic),1.3921703500258567,2.2083682423247315,-0.5057354668341301,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True
0,1,0,0,0.5579682654329069,1,One year,1,Bank transfer (automatic),0.8786536212896409,0.8122845041164914,-0.4781614092060979,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
0,0,1,1,-1.202712536926054,1,Month-to-month,1,Electronic check,0.5030718067447064,-0.9058108195003233,0.6595757403966188,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
0,1,0,0,-0.8341979503858065,1,Month-to-month,1,Electronic check,0.8786536212896409,-0.5284980615924801,-0.25205249946170494,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0,-0.2609530379898657,0,One year,0,Bank transfer (automatic),-0.5655083116287133,-0.4860437428405428,-0.411537691122523,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False
1,0,0,0,-1.202712536926054,1,Month-to-month,1,Mailed check,-0.48906245557089484,-0.9413884230794208,0.5845471069446028,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0,0.6808064609463228,1,Two year,1,Bank transfer (automatic),0.31860463234431835,0.6334235747496053,-0.48600199173317804,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False
1,0,0,0,0.025669418208104724,1,Two year,0,Bank transfer (automatic),0.5230142039771807,0.159881027670704,-0.44761620277922337,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
1,0,1,0,0.39418400474835236,1,Month-to-month,1,Electronic check,0.9816893403240922,0.7628650236943142,-0.47303653883930463,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
1,0,1,1,-0.05622271213417253,1,One year,1,Bank transfer (automatic),0.3451944953209508,0.024292547156704123,-0.44136812551354476,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False
1,1,1,1,1.4587816991979567,1,One year,1,Credit card (automatic),1.405465281514173,2.251065788944518,-0.5062433408907981,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True
1,1,1,1,1.3768895688556795,1,One year,1,Electronic check,1.7079249728733679,2.4644208522973536,-0.5052588106367814,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,1,1,1.0493210474865704,1,One year,1,Electronic check,-1.506124714427089,-0.5221741370283894,-0.4947998383598143,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
1,0,1,1,0.10756154855038198,1,Two year,0,Mailed check,-1.4878441836306542,-0.7227265698825935,-0.44674742194883993,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
1,0,0,0,-1.2846046672683313,1,Month-to-month,0,Bank transfer (automatic),-1.484520450758575,-1.003588422375879,2.959293382050462,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,0,0,0,0.3122918744060751,1,Month-to-month,0,Credit card (automatic),0.3302376973965949,0.30166076300269473,-0.4669277307510111,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0,0,1,0,-0.7932518852146678,1,Month-to-month,1,Electronic check,0.37676995760570203,-0.5784924442477564,-0.27339922459338095,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
1,0,1,0,1.0083749823154318,1,Month-to-month,0,Electronic check,-0.30459528117050655,0.3900630371538643,-0.4950185170148308,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0,0,0,0,-1.2846046672683313,1,Month-to-month,0,Electronic check,0.34685636175699025,-0.9792214123422149,3.0851030650424685,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,0,0,0,-1.2846046672683313,1,Month-to-month,1,Mailed check,-0.6369685683784132,-0.9923114939573958,3.0544218071888696,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0,0.5579682654329069,1,Two year,0,Credit card (automatic),-0.349465674943574,0.0754367342781787,-0.478300127468807,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
0,1,1,1,0.3122918744060751,1,Month-to-month,1,Credit card (automatic),0.9866749396322104,0.5974037386835083,-0.4639633533632492,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
1,0,1,1,-0.4656833638455588,1,One year,0,Mailed check,0.41997848494272977,-0.29389372723932633,-0.3838244352339612,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
0,0,0,0,-1.0798743414126382,1,Month-to-month,1,Bank transfer (automatic),1.1063293230270572,-0.7615766938654862,0.077845120617483,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False
1,0,1,1,1.090267112657709,1,Two year,1,Mailed check,1.5367527299612957,1.886400880164856,-0.49727437756036547,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False
1,0,0,0,-0.7113597548723906,1,Month-to-month,1,Credit card (automatic),-0.20820702788021367,-0.5969556505799791,-0.32978651184800706,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,0,0,0,-0.22000697281872703,1,Month-to-month,1,Mailed check,0.9866749396322104,0.19238511546515602,-0.4317398853286683,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
1,0,0,0,1.5816198947113727,1,One year,1,Bank transfer (automatic),1.7095868393094074,2.662231443732161,-0.5081754765919472,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,0,0,0.5170222002617683,1,Month-to-month,1,Credit card (automatic),0.8121789638480595,0.8413834017610482,-0.4812050886497562,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
1,0,0,0,-1.1617664717549154,1,Month-to-month,0,Mailed check,-1.4679017863981798,-0.9802164354379634,0.4725864490476208,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,0,0,0,-1.2846046672683313,1,Month-to-month,1,Mailed check,-1.5044628479910496,-1.0038537618680787,2.954219141669008,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
1,0,1,1,0.5989143306040455,1,Month-to-month,1,Electronic check,1.1462141174920055,1.0877068970196846,-0.4826141448128483,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False
1,0,0,0,0.06661548337924335,1,Month-to-month,1,Electronic check,-0.5006955206231717,-0.24560193965899757,-0.453862243266635,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0,0,1,1,-0.5885215593589747,1,One year,1,Credit card (automatic),-0.34780380850753456,-0.5892608053061905,-0.3501554294769462,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
0,0,0,0,-0.997982211070361,1,One year,0,Bank transfer (automatic),-0.3527894078156531,-0.814511922559308,-0.11336487118134837,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,0,0,0,-1.0389282762414995,0,One year,1,Credit card (automatic),-0.975989321330478,-0.9021624014825788,-0.03655413856134466,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
1,0,1,1,-1.1208204065837768,1,Month-to-month,1,Electronic check,0.6526397859882644,-0.8118585276373119,0.12642726960283196,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0,0,0,0,0.2713458092349365,1,One year,0,Electronic check,-0.18494089777566036,-0.035563619958657505,-0.460765535215912,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
1,0,1,1,-0.13811484247644978,1,Month-to-month,1,Mailed check,-1.4695636528342193,-0.7229255745017432,-0.4435725266883052,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
0,0,1,0,-1.2846046672683313,1,Month-to-month,0,Mailed check,-0.3212139455309019,-0.988110285330902,3.067790633385838,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,0,0,1,-0.05622271213417253,0,Month-to-month,0,Credit card (automatic),-1.32498127289878,-0.6635116398733809,-0.44301223476855767,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,-1.2436586020971927,0,Month-to-month,0,Mailed check,-1.3482474030033336,-0.9955176794881411,1.7151423766028375,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,0,1.2540513733422636,1,One year,0,Credit card (automatic),0.19728838251343225,0.954882369549431,-0.5010968841661789,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
1,0,0,0,-0.5066294290166974,1,Month-to-month,0,Electronic check,0.46318701227975756,-0.286685337701237,-0.38264804967966465,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
0,0,1,0,1.5816198947113727,1,Two year,1,Credit card (automatic),0.6127549915233155,1.5942178760043875,-0.5076762790304804,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,0,0,1.3768895688556795,1,Two year,1,Bank transfer (automatic),-0.12345183964219758,0.7641253862822622,-0.5036583004415905,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True
1,0,0,0,-0.997982211070361,1,Month-to-month,1,Mailed check,-0.6552490991748482,-0.818646796312752,-0.18035378286263806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0,-1.2436586020971927,1,Month-to-month,1,Electronic check,1.034869066277357,-0.9352192798857799,1.4569961101258804,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
1,0,1,0,-1.202712536926054,0,Month-to-month,0,Mailed check,-0.9892842528187943,-0.9678118141776318,0.7098476661778051,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,0,0,0,0.5989143306040455,1,Two year,0,Credit card (automatic),-1.4828585843225357,-0.557110503501338,-0.4873054381705273,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
1,0,0,0,-1.2436586020971927,0,Month-to-month,1,Electronic check,-0.5189760514196065,-0.9725658134128748,1.431364521841594,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
1,0,0,0,-1.2846046672683313,1,Month-to-month,0,Electronic check,0.30364783441996246,-0.9797963145753141,3.084264029382877,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0,0,0,0,-1.0389282762414995,1,One year,0,Mailed check,-1.4828585843225357,-0.9554071929173001,0.01478894918418544,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
1,0,1,1,1.4997277643690954,1,Two year,1,Electronic check,1.334005024764473,2.214780613386222,-0.5067285444450986,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True
1,0,0,0,-1.1208204065837768,1,Month-to-month,0,Electronic check,1.34397622338071,-0.7690283112714252,0.14520000556865487,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False
0,0,1,0,1.5816198947113727,1,Two year,0,Mailed check,-1.5044628479910496,-0.38609920077869025,-0.508792638103681,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
0,0,0,0,-1.2846046672683313,1,Month-to-month,1,Credit card (automatic),0.3136190330361996,-0.9796636448292143,3.0844602243593617,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,1,-0.7523058200435292,1,Month-to-month,1,Credit card (automatic),0.8238120289003366,-0.47814989294760446,-0.2860692124125934,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False
0,0,0,0,-0.13811484247644978,1,Month-to-month,0,Credit card (automatic),-1.5127721801712473,-0.7464744544344585,-0.4412641889169425,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False
1,0,0,0,0.9674289171442931,1,Two year,1,Credit card (automatic),0.5628989984421295,0.9927595820609249,-0.4932489554034595,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False
